Cabernet_Franc,offers_good,good_varietal,varietal_character,character_black,black_currant,currant_graphite,graphite_flavors,flavors_linear,linear_profile,profile_spicy,spicy_finish,finish_shows,shows_medium,medium_sweetness,sweetness_fine,fine_length,,,,,,,
Cabernet_Franc,offers_sleek,sleek_pure,pure_iron-spiked,iron-spiked_black,black_cherry,cherry_cassis,cassis_fruit,fruit_lingering,lingering_floral,floral_tobacco,tobacco_finish,finish_drink,drink_grapes,grapes_clay-limestone,clay-limestone_fruity,fruity_aromatic,aromati,,,,,,
Cabernet_Franc,fresh_direct,direct_side,side_accessible,accessible_cherry,cherry_raspberry,raspberry_fruit,fruit_touch,touch_barky,barky_brushy,brushy_overlay,overlay_medium-bodied,medium-bodied_effort,effort_reasonably,reasonably_light,light_feet,feet_open,open_structu,,,,,,
Cabernet_Franc,one_great,great_values,values_tuscan,tuscan_cupole,cupole_trinoro,trinoro_simply,simply_stunning,stunning_dark,dark_red,red_cherry,cherry_plum,plum_licorice,licorice_spice,spice_leather,leather_notes,notes_jump,jump_glass,glass_vibrant,vibrant_nuanced,nua,,,
Cabernet_Franc,pure_expression,expression_drop,drop_dead,dead_gorgeous,gorgeous_amazing,amazing_intensity,intensity_purity,purity_aromas,aromas_get,get_bright,bright_berry,berry_notes,notes_drying,drying_mineral,mineral_exotic,exotic_spice,spice_cooling,cooling_acidity,,,,,
Cabernet_Franc,pepper_bay,bay_olive,olive_notes,notes_stud,stud_core,core_medium-weight,medium-weight_black,black_cherry,cherry_black,black_currant,currant_fruit,fruit_lightly,lightly_grippy,grippy_edge,edge_runs,runs_finish,finish_bay,bay_leaf,leaf_note,note_hangs,hang,,
Cabernet_Franc,pure_fresh,fresh_savory,savory_note,note_framing,framing_white,white_cherry,cherry_strawberry,strawberry_core,core_notes,notes_offers,offers_sleek,sleek_finish,finish_fresh,fresh_snappy,snappy_berry-driven,berry-driven_rose,rose_delicate,delicate_floral,f,,,,
Cabernet_Franc,quintarelli_master,master_behind,behind_artisanally-made,artisanally-made_gloriously,gloriously_rich,rich_valpolicella,valpolicella_makes,makes_tiny,tiny_quantity,quantity_late-harvested,late-harvested_extremely,extremely_rich,rich_concentrated,,,,,,,,,,
Cabernet_Franc,quintarelli_master,master_behind,behind_artisanally-made,artisanally-made_gloriously,gloriously_rich,rich_valpolicella,valpolicella_makes,makes_tiny,tiny_quantity,quantity_late-harvested,late-harvested_extremely,extremely_rich,rich_concentrated,,,,,,,,,,
Cabernet_Franc,quintarelli_master,master_behind,behind_artisanally-made,artisanally-made_gloriously,gloriously_rich,rich_valpolicella,valpolicella_makes,makes_tiny,tiny_quantity,quantity_late-harvested,late-harvested_extremely,extremely_rich,rich_concentrated,,,,,,,,,,
Cabernet_Franc,quite_dark,dark_featuring,featuring_roasted,roasted_bay,bay_leaf,leaf_charcoal,charcoal_flavors,flavors_running,running_core,core_dark,dark_plum,plum_blackberry,blackberry_fruit,fruit_stays,stays_fresh,fresh_despite,despite_profile,profile_sweet,sweet_tap,,,,
Cabernet_Franc,quite_polished,polished_front,front_lush,lush_black,black_cherry,cherry_blackberry,blackberry_fruit,fruit_also,also_plenty,plenty_iron,iron_truffle,truffle_olive,olive_paste,paste_tobacco,tobacco_notes,notes_ample,ample_structure,structure_finish,finish_i,,,,
Cabernet_Franc,really_nice,nice_peju,peju_will,will_even,even_take,take_age,age_medium-bodied,medium-bodied_elegant,elegant_shows,shows_cherry,cherry_tobacco,tobacco_violet,violet_vanilla,vanilla_anise,anise_flavors,flavors_wrapped,wrapped_softly,softly_gentle,gentle_lu,,,,
Cabernet_Franc,ripe_rounded,rounded_cassis,cassis_plum,plum_blackberry,blackberry_fruit,fruit_flavors,flavors_guided,guided_finely,finely_beaded,beaded_acidity,acidity_refreshing,refreshing_tobacco,tobacco_note,note_finish,finish_shows,shows_subtle,subtle_persistence,pe,,,,,
Cabernet_Franc,ripe_full-bodied,full-bodied_smoky,smoky_packed,packed_blackberry,blackberry_juiciness,juiciness_structured,structured_tannins,tannins_form,form_powerful,powerful_backing,backing_full,full_rich,rich_character,character_giving,giving_flavors,flavors_wood,w,,,,,,
Cabernet_Franc,robust_fruit,fruit_drives,drives_tight,tight_floral,floral_lasting,lasting_red,red_cherry,cherry_flavor,flavor_roasted,roasted_character,character_aroma,aroma_suggests,suggests_pairing,pairing_rustic,rustic_hearty,hearty_dishes,dishes_like,like_salade,sal,,,,
Cabernet_Franc,ruby-red_blueberry,blueberry_cassis,cassis_mint,mint_gingerbread,gingerbread_aromas,aromas_sweet,sweet_supple,supple_lovely,lovely_texture,texture_ripeness,ripeness_even,even_plusher,plusher_lake,lake_william,william_blend,blend_thoroughly,thoroughly_ripe,,,,,,
Cabernet_Franc,serves_enticing,enticing_black,black_cherry,cherry_wild,wild_berry,berry_currant,currant_flavors,flavors_seasoned,seasoned_spicy,spicy_cedary,cedary_dill-scented,dill-scented_oak,oak_tony,tony_peju,peju_purchased,purchased_named,named_wife,wife_many,many_,,,,
Cabernet_Franc,shows_candied,candied_black,black_currant,currant_flavor,flavor_like,like_gum,gum_along,along_juicy,juicy_acidity,acidity_light,light_balanced,balanced_moderate,moderate_length,length_gently,gently_sweet,sweet_warming,warming_flavors,flavors_cocoa-dusted,,,,,
Cabernet_Franc,silky_tannins,tannins_support,support_core,core_sweet,sweet_plum,plum_spice,spice_rose,rose_petal,petal_sage,sage_mint,mint_perrone,perrone_series,series_delicate,delicate_understated,understated_palate,palate_good,good_dose,dose_acidity,acidity_stands,st,,,
Cabernet_Franc,starting_boss,boss_block,block_spent,spent_close,close_new,new_oak,oak_inky,inky_purple,purple_color,color_concentrated,concentrated_decadent,decadent_rich,rich_stays,stays_remarkable,remarkable_fresh,fresh_lively,lively_aromatically,aromatically_dark,dar,,,,
Cabernet_Franc,straddling_fine,fine_line,line_fruity,fruity_bright,bright_just,just_little,little_tannic,tannic_comfort,comfort_buoyant,buoyant_young,young_exhibits,exhibits_nice,nice_bit,bit_winsome,winsome_berry-like,berry-like_fruit,fruit_taking,taking_turn,turn_astr,,,,
